fips,wage,employment
15001,24731.608950728285,44488
15003,30443.813714346717,318484
15007,24810.522535022155,22343
15009,26828.960553212648,54301
16001,34958.62206305997,151348
16003,18927.952042628775,563
16005,22365.525232346045,23026
16007,16339.242390078918,887
16009,25705.315413533834,2660
16011,21441.722372750144,10334
16013,31978.982229242767,10129
16015,18846.545454545456,825
16017,22681.97673448096,9585
16019,26083.369637251482,34404
16021,22651.71615069004,2681
16023,52291.23505903724,5505
16025,14301.581081081082,148
16027,24869.167519275485,40855
16029,35422.58638083228,2379
16031,20631.4670951516,7157
16033,18835.529051987767,327
16035,23915.297883064515,1984
16037,22316.210619469028,1130
16039,17628.850306748467,4075
16041,18450.40323547034,1669
16043,18032.272215973004,1778
16045,22652.371757925073,2429
16047,20854.668131868133,4095
16049,21380.355130434782,2875
16051,18943.909307875896,3771
16053,21758.349276069628,6147
16055,23522.12159803108,34943
16057,19274.51549260149,7907
16059,17512.174164524422,1556
16061,17276.466757123475,737
16063,18716.697289156626,664
16065,18369.275907883082,9032
16067,22036.126592356686,6280
16069,27807.34183417785,17959
16071,17444.113490364027,467
16073,19883.745288099086,1857
16075,22154.79172056921,4638
16077,29401.04403244496,3452
16079,24223.811697574893,3505
16081,18134.045270816492,1237
16083,21406.148187546027,24442
16085,17635.910807553235,2489
16087,17009.252791424744,2239
17001,25052.12270882888,28588
17003,24411.207173778603,1617
17005,24075.951855566702,2991
17007,41082.56379625021,12054
17009,26613.055147058825,1632
17011,27460.27881506206,9587
17013,17533.67659574468,705
17015,22871.03665300217,4147
17017,22643.100044267376,4518
17019,25954.190190308604,67627
17021,23111.051846285958,9316
17023,22089.45136272989,4513
17025,24202.27328682807,4874
17027,21276.69421131913,9294
17029,24131.426739367504,22925
17031,43031.58617008358,2371728
17033,28264.825969189096,5907
17035,18697.515596330275,1635
17037,27022.41908713693,24582
17039,34343.07943925234,4708
17041,27755.66560553633,7225
17043,43088.41255334162,535698
17045,22857.991719242902,5072
17047,23534.288814691154,2995
17049,24128.52234042553,18800
17051,20480.474644217276,4989
17053,22779.96083009079,3855
17055,20363.68512406796,8181
17057,19975.610677290835,6275
17059,27103.68770226537,1236
17061,18817.11869293609,2081
17063,40601.62736151137,12492
17065,18055.559405940596,1010
17067,20991.0651607298,4604
17069,20459.95765877958,803
17071,18265.374613003096,646
17073,22276.360267054693,11683
17075,21654.0714091773,7366
17077,20831.39431432353,17377
17079,24837.07488299532,1923
17081,27911.31945418606,15683
17083,20168.1926910299,3612
17085,22194.091831214497,7394
